0 -10  -10  -10  17.3205
268  4.91002  4.55367  -9.10541  11.3028
269  3.1597  2.30547  -7.11984  8.12349
270  3.68483  0.0291158  -4.68807  5.96296
271  4.34649  -0.592006  -5.34721  6.91629
272  4.34649  -0.592006  -5.34721  6.91629
273  4.34649  -0.592006  -5.34721  6.91629
274  2.32194  -2.54951  -2.62967  4.33666
275  0.752781  -0.550735  -3.35768  3.48483
276  0.752781  -0.550735  -3.35768  3.48483
277  0.752781  -0.550735  -3.35768  3.48483
278  0.752781  -0.550735  -3.35768  3.48483
279  0.752781  -0.550735  -3.35768  3.48483
280  -2.15495  -1.06217  -2.99455  3.83918
281  -2.15495  -1.06217  -2.99455  3.83918
282  -2.15495  -1.06217  -2.99455  3.83918
283  0.136939  1.46758  -1.83925  2.35698
284  0.136939  1.46758  -1.83925  2.35698
285  0.136939  1.46758  -1.83925  2.35698
286  0.136939  1.46758  -1.83925  2.35698
287  0.808238  0.59036  -2.08326  2.31123
288  0.808238  0.59036  -2.08326  2.31123
289  3.39639  0.200672  -4.36495  5.5343
290  3.39639  0.200672  -4.36495  5.5343
291  3.52748  0.83755  -3.10127  4.77101
292  3.52748  0.83755  -3.10127  4.77101
293  0.808321  1.16031  -0.849836  1.64982
294  0.808321  1.16031  -0.849836  1.64982
295  0.808321  1.16031  -0.849836  1.64982
296  0.808321  1.16031  -0.849836  1.64982
297  3.07274  0.10813  1.54194  3.43962
298  3.07274  0.10813  1.54194  3.43962
299  3.07274  0.10813  1.54194  3.43962
300  5.4076  0.918692  3.2453  6.37323
301  3.76019  0.292709  1.24872  3.97291
302  3.76019  0.292709  1.24872  3.97291
303  1.85154  1.38697  -0.817538  2.45362
304  1.85154  1.38697  -0.817538  2.45362
305  2.98238  -1.01954  -1.36749  3.43571
306  2.8301  -0.265914  -1.83875  3.38544
307  2.8301  -0.265914  -1.83875  3.38544
308  0.157295  1.88223  -1.34294  2.31755
309  -2.6596  0.398163  0.683457  2.77473
310  -0.169709  -0.376198  -0.432256  0.597638
311  -1.83117  0.952833  2.46817  3.2176
312  -3.66476  1.89627  4.75495  6.29571
313  -3.47021  -0.0838914  5.96824  6.90429
314  -2.42339  0.748728  5.41896  5.98319
315  -0.437998  1.38649  5.89197  6.06874
316  1.05352  -0.670947  6.91788  7.02973
317  3.67108  1.55456  4.45329  5.97706
318  0.799883  -0.241806  6.5512  6.60428
319  0.799883  -0.241806  6.5512  6.60428
320  2.9612  -0.611932  5.13084  5.95556
321  2.9612  -0.611932  5.13084  5.95556
322  1.27329  -0.904165  3.13895  3.50597
323  1.27329  -0.904165  3.13895  3.50597
324  0.999503  -2.99069  2.18521  3.83645
325  0.999503  -2.99069  2.18521  3.83645
326  -1.09279  -2.50072  4.68476  5.4217
327  -0.720321  -1.14844  4.55486  4.75232
328  -0.720321  -1.14844  4.55486  4.75232
329  -0.720321  -1.14844  4.55486  4.75232
330  1.72968  -0.18736  4.64991  4.96473
331  1.72968  -0.18736  4.64991  4.96473
332  0.914561  2.3705  4.73059  5.36974
333  3.53129  1.58778  4.38396  5.84895
334  3.53129  1.58778  4.38396  5.84895
335  3.53129  1.58778  4.38396  5.84895
336  1.15834  1.12771  4.44097  4.72607
337  1.15834  1.12771  4.44097  4.72607
338  1.15834  1.12771  4.44097  4.72607
339  0.46241  0.844645  5.33654  5.42272
340  1.09568  -2.06369  3.21211  3.97203
341  -0.7783  -1.68489  5.62877  5.92686
342  -0.7783  -1.68489  5.62877  5.92686
343  -2.56964  -3.6285  4.84272  6.57427
344  -2.56964  -3.6285  4.84272  6.57427
345  -2.50516  -0.778469  2.60282  3.69548
346  -2.21889  0.815975  1.47981  2.78911
347  -0.319143  3.10321  2.09384  3.75712
348  -0.319143  3.10321  2.09384  3.75712
349  -0.319143  3.10321  2.09384  3.75712
350  -1.5234  0.649294  4.25206  4.56315
351  -0.273364  0.581667  4.97484  5.01618
352  0.475905  2.77112  2.41504  3.70648
353  0.475905  2.77112  2.41504  3.70648
354  -1.10131  0.2343  4.02959  4.18395
355  -1.10131  0.2343  4.02959  4.18395
356  -1.10131  0.2343  4.02959  4.18395
357  -1.10131  0.2343  4.02959  4.18395
358  -1.70064  -1.87543  5.13148  5.72202
359  -1.70064  -1.87543  5.13148  5.72202
360  0.0188436  0.0249642  6.09542  6.0955
361  0.28373  -2.84837  4.9065  5.68044
362  0.28373  -2.84837  4.9065  5.68044
363  -0.248805  -3.79925  6.55434  7.57994
364  -0.248805  -3.79925  6.55434  7.57994
365  -0.248805  -3.79925  6.55434  7.57994
366  -0.389846  -2.3362  6.1251  6.56709
367  -0.389846  -2.3362  6.1251  6.56709
368  -0.389846  -2.3362  6.1251  6.56709
369  -0.389846  -2.3362  6.1251  6.56709
370  2.41807  -0.517388  8.83705  9.1765
371  2.41807  -0.517388  8.83705  9.1765
372  0.864275  1.27687  7.35787  7.51769
373  2.21783  4.12932  5.00584  6.85773
374  2.21783  4.12932  5.00584  6.85773
375  2.21783  4.12932  5.00584  6.85773
376  2.21783  4.12932  5.00584  6.85773
377  2.21783  4.12932  5.00584  6.85773
378  2.21783  4.12932  5.00584  6.85773
379  2.21783  4.12932  5.00584  6.85773
380  4.089  6.87006  2.70512  8.4401
381  1.78396  8.75088  2.92402  9.39736
382  1.78396  8.75088  2.92402  9.39736
383  1.91563  6.9337  3.05459  7.81514
384  1.91563  6.9337  3.05459  7.81514
385  1.86682  8.45375  4.86486  9.93065
386  1.86682  8.45375  4.86486  9.93065
387  1.86682  8.45375  4.86486  9.93065
388  1.86682  8.45375  4.86486  9.93065
389  -0.127164  6.57673  6.59753  9.31649
390  -0.127164  6.57673  6.59753  9.31649
391  -0.127164  6.57673  6.59753  9.31649
