0 0  0  20  20
124  0.718703  0.75226  1.24705  1.62405
125  0.718703  0.75226  1.24705  1.62405
126  -0.393041  0.0177438  2.93688  2.96311
127  -0.393041  0.0177438  2.93688  2.96311
128  -0.908323  -0.0546987  2.30279  2.47606
129  -0.908323  -0.0546987  2.30279  2.47606
130  0.754441  -1.00124  4.88593  5.0442
131  1.71475  -0.154764  5.50387  5.76688
132  2.85322  1.54669  3.01146  4.42741
133  3.32245  2.39825  1.75576  4.45791
134  1.22339  -0.197859  -0.497651  1.33547
135  3.07548  2.20238  -1.38827  4.02944
136  5.62245  0.545092  -3.03964  6.4147
137  2.6855  0.491095  -5.82057  6.42901
138  5.46076  2.18148  -5.40604  7.98774
139  2.8997  4.81889  -3.39657  6.57014
140  0.346288  4.9662  -4.95909  7.02678
141  0.346288  4.9662  -4.95909  7.02678
142  1.11603  2.47146  -4.28955  5.07483
143  1.11603  2.47146  -4.28955  5.07483
144  1.11603  2.47146  -4.28955  5.07483
145  3.66088  0.230954  -1.6767  4.0332
146  4.31571  -1.46093  -2.11147  5.02175
147  4.31571  -1.46093  -2.11147  5.02175
148  4.74846  -1.32074  -2.74675  5.64242
149  4.74846  -1.32074  -2.74675  5.64242
150  3.60217  -0.0499695  -3.46341  4.99734
151  2.00024  2.84159  -5.09453  6.16683
152  0.0987406  3.14939  -4.06122  5.14022
153  -2.24031  3.06791  -4.47763  5.87199
154  -2.24031  3.06791  -4.47763  5.87199
155  -2.24031  3.06791  -4.47763  5.87199
156  -2.24031  3.06791  -4.47763  5.87199
157  -1.24297  1.02783  -5.73068  5.95333
158  0.360097  2.56775  -5.297  5.89756
159  1.58911  -0.358308  -5.7009  5.92907
160  1.66991  -0.405615  -3.26608  3.69058
161  -0.933502  -1.15809  -1.39673  2.04045
162  -0.933502  -1.15809  -1.39673  2.04045
163  -0.933502  -1.15809  -1.39673  2.04045
164  -0.933502  -1.15809  -1.39673  2.04045
165  -0.933502  -1.15809  -1.39673  2.04045
166  -0.0573475  0.718628  -3.84612  3.9131
167  -1.16079  1.53115  -2.98214  3.54754
168  -1.16079  1.53115  -2.98214  3.54754
169  1.52081  3.76761  -2.41335  4.72567
170  2.73667  2.99494  -4.37265  5.96482
171  2.73667  2.99494  -4.37265  5.96482
172  4.41823  4.46255  -6.88464  9.31844
173  3.22403  4.77431  -5.80757  8.18024
174  3.22403  4.77431  -5.80757  8.18024
175  2.80534  1.95684  -6.07594  6.97253
176  3.47338  -0.896781  -4.23924  5.55335
177  2.86925  1.07489  -1.79595  3.55154
178  1.8107  -1.23453  -3.76601  4.35724
179  1.8107  -1.23453  -3.76601  4.35724
180  1.8107  -1.23453  -3.76601  4.35724
181  1.8107  -1.23453  -3.76601  4.35724
182  1.8107  -1.23453  -3.76601  4.35724
183  -0.685136  0.0171163  -2.58804  2.67725
184  -0.685136  0.0171163  -2.58804  2.67725
185  -0.685136  0.0171163  -2.58804  2.67725
186  -0.207649  1.03452  -3.6319  3.78207
187  -0.207649  1.03452  -3.6319  3.78207
188  -0.207649  1.03452  -3.6319  3.78207
189  1.10526  2.51506  -2.2546  3.55392
190  1.10526  2.51506  -2.2546  3.55392
191  1.10526  2.51506  -2.2546  3.55392
192  -0.88665  -0.0455531  -4.96746  5.04617
193  -0.88665  -0.0455531  -4.96746  5.04617
194  -0.728753  2.3529  -3.20629  4.04321
195  -0.728753  2.3529  -3.20629  4.04321
196  -0.728753  2.3529  -3.20629  4.04321
197  -0.728753  2.3529  -3.20629  4.04321
198  -0.924036  1.26015  -3.89694  4.19856
199  -0.924036  1.26015  -3.89694  4.19856
200  -0.924036  1.26015  -3.89694  4.19856
201  0.0955869  1.10205  -2.33005  2.5793
202  0.0955869  1.10205  -2.33005  2.5793
203  0.0955869  1.10205  -2.33005  2.5793
204  0.0955869  1.10205  -2.33005  2.5793
205  0.0955869  1.10205  -2.33005  2.5793
206  0.0955869  1.10205  -2.33005  2.5793
207  0.0955869  1.10205  -2.33005  2.5793
