0 -10  -10  -10  17.3205
195  -1.40638  -0.0166155  0.321875  1.44284
196  -1.40638  -0.0166155  0.321875  1.44284
197  -1.40638  -0.0166155  0.321875  1.44284
198  -1.40638  -0.0166155  0.321875  1.44284
199  -0.84762  -0.765513  -0.0777363  1.14478
200  -0.84762  -0.765513  -0.0777363  1.14478
201  -0.417575  -0.832195  0.583125  1.09861
202  -0.417575  -0.832195  0.583125  1.09861
203  0.243546  0.246848  0.90488  0.969049
204  0.243546  0.246848  0.90488  0.969049
205  0.243546  0.246848  0.90488  0.969049
206  0.243546  0.246848  0.90488  0.969049
207  0.243546  0.246848  0.90488  0.969049
208  0.243546  0.246848  0.90488  0.969049
209  0.243546  0.246848  0.90488  0.969049
210  0.243546  0.246848  0.90488  0.969049
211  -0.179036  0.209059  1.918  1.93765
212  -0.179036  0.209059  1.918  1.93765
213  0.929933  0.71791  1.31163  1.76083
214  1.64835  -0.0796685  0.949583  1.90398
215  1.64835  -0.0796685  0.949583  1.90398
216  1.64835  -0.0796685  0.949583  1.90398
217  1.98852  -0.250678  1.25893  2.36685
218  1.98852  -0.250678  1.25893  2.36685
219  1.98852  -0.250678  1.25893  2.36685
220  2.40223  0.915877  0.561878  2.63159
221  2.40223  0.915877  0.561878  2.63159
222  1.48442  1.19665  0.162251  1.91358
223  0.409024  1.36565  -0.540899  1.52476
224  0.409024  1.36565  -0.540899  1.52476
225  -0.41567  0.471518  0.494659  0.799874
226  -0.41567  0.471518  0.494659  0.799874
227  -0.41567  0.471518  0.494659  0.799874
228  -0.41567  0.471518  0.494659  0.799874
229  -0.347975  0.750681  0.252668  0.86513
230  -0.347975  0.750681  0.252668  0.86513
231  -0.347975  0.750681  0.252668  0.86513
232  -0.347975  0.750681  0.252668  0.86513
233  -0.347975  0.750681  0.252668  0.86513
234  -0.347975  0.750681  0.252668  0.86513
235  -0.347975  0.750681  0.252668  0.86513
236  0.522269  0.384528  0.439503  0.783447
237  0.298497  0.445363  -0.364922  0.64855
238  0.298497  0.445363  -0.364922  0.64855
239  0.298497  0.445363  -0.364922  0.64855
240  0.298497  0.445363  -0.364922  0.64855
241  0.298497  0.445363  -0.364922  0.64855
242  0.298497  0.445363  -0.364922  0.64855
243  0.298497  0.445363  -0.364922  0.64855
