0 100  100  100  173.205
64  93.6172  54.1681  64.8485  126.11
65  91.4242  54.7722  66.2946  125.512
66  90.0303  52.9036  67.8859  124.55
67  88.1861  53.7573  67.4661  123.363
68  89.7269  49.5678  65.9738  121.903
69  89.4923  47.4594  63.3229  119.462
70  89.9859  45.4533  60.697  117.676
71  89.1145  44.7598  59.1218  115.932
72  89.4777  44.2601  59.5461  116.237
73  90.2849  41.4464  57.6133  114.841
74  90.2849  41.4464  57.6133  114.841
75  90.5876  39.7319  55.126  113.241
76  93.5334  36.8324  54.512  114.353
77  93.5334  36.8324  54.512  114.353
78  93.5334  36.8324  54.512  114.353
79  93.1502  38.0054  56.8849  115.574
80  93.1502  38.0054  56.8849  115.574
81  91.6605  36.9722  59.2444  115.232
82  89.695  37.7584  58.9681  113.79
83  89.695  37.7584  58.9681  113.79
84  88.534  36.8946  59.2433  112.735
85  86.1069  36.5176  57.0029  109.532
86  84.9685  34.3671  57.3868  108.139
87  84.3274  33.2579  56.9857  107.073
88  82.3692  34.5573  59.9488  107.577
89  83.186  32.0818  59.8735  107.396
90  82.375  31.8328  60.5293  107.064
91  80.6699  34.7865  58.8609  105.747
92  80.6699  34.7865  58.8609  105.747
93  78.3034  36.1811  60.1224  105.144
94  75.5948  34.4476  57.9658  101.298
95  75.5948  34.4476  57.9658  101.298
96  75.5948  34.4476  57.9658  101.298
97  75.5948  34.4476  57.9658  101.298
98  75.5948  34.4476  57.9658  101.298
99  76.2542  32.9564  57.8737  101.243
100  77.0411  30.5761  57.5036  100.881
101  77.0411  30.5761  57.5036  100.881
102  76.2861  31.0321  58.8752  101.237
103  76.407  34.064  58.7192  102.207
104  77.1181  32.7849  58.9689  102.466
105  77.1181  32.7849  58.9689  102.466
106  72.7327  34.285  55.9784  97.9749
107  72.7955  33.7418  53.3413  96.3483
108  73.9978  33.1008  53.031  96.8691
109  72.2143  31.1961  55.0499  96.0135
110  72.9108  31.8626  52.6809  95.4279
111  72.4769  33.7881  49.7894  94.1994
112  66.6406  36.7216  47.7021  89.805
113  67.1579  35.6844  46.8751  89.3355
114  66.5321  35.0227  45.6535  87.9623
115  67.2686  32.2503  47.0511  88.1983
116  64.3971  32.7448  44.036  84.6072
117  64.3971  32.7448  44.036  84.6072
118  63.8737  31.777  42.5839  83.0844
119  63.8737  31.777  42.5839  83.0844
120  63.8737  31.777  42.5839  83.0844
121  63.8737  31.777  42.5839  83.0844
122  63.8737  31.777  42.5839  83.0844
123  62.2073  27.5307  42.1156  80.0088
124  60.3277  25.1199  40.7015  76.9874
125  60.3277  25.1199  40.7015  76.9874
126  59.5065  26.0874  42.1064  77.4243
127  56.4304  25.3361  40.6681  74.0283
128  56.4304  25.3361  40.6681  74.0283
129  57.1588  21.9739  42.3517  74.4557
130  57.1588  21.9739  42.3517  74.4557
131  56.2976  20.2245  42.7557  73.5289
132  56.2976  20.2245  42.7557  73.5289
133  58.3238  19.4356  38.0485  72.2986
134  55.0456  19.6791  34.6636  67.9621
135  55.4073  17.4794  32.9769  66.8055
136  55.4073  17.4794  32.9769  66.8055
137  55.4341  14.508  35.9341  67.6364
138  57.0505  13.7019  32.695  67.1675
139  57.0505  13.7019  32.695  67.1675
140  58.4492  11.803  28.9479  66.2842
141  58.2491  10.4169  27.4413  65.2265
142  56.6911  10.3001  33.4704  66.6351
143  56.6911  10.3001  33.4704  66.6351
144  53.808  8.37521  33.9486  64.1713
145  55.0635  9.9256  34.637  65.8044
146  55.7421  8.97099  34.8501  66.349
147  55.7421  8.97099  34.8501  66.349
148  56.5193  10.7448  34.7528  67.2134
149  55.7289  14.1289  35.2717  67.4494
150  55.7289  14.1289  35.2717  67.4494
151  54.8085  10.7859  37.0332  67.0206
152  54.8085  10.7859  37.0332  67.0206
153  55.5436  11.3817  37.0173  67.712
154  56.1538  11.8741  34.586  67.0107
155  54.166  9.83483  35.274  65.3829
156  52.351  8.16332  39.0033  65.7915
157  52.351  8.16332  39.0033  65.7915
158  51.6441  8.4541  40.5083  66.1778
159  50.6226  9.11505  37.4486  63.625
160  50.6226  9.11505  37.4486  63.625
161  50.814  7.97697  36.3108  62.9617
162  50.814  7.97697  36.3108  62.9617
163  50.814  7.97697  36.3108  62.9617
164  49.1995  5.90271  34.6224  60.4495
165  46.9412  8.95759  30.5419  56.7144
166  46.0464  13.545  28.5943  55.8693
167  44.064  16.3231  28.0806  54.7412
168  44.064  16.3231  28.0806  54.7412
169  44.064  16.3231  28.0806  54.7412
170  44.064  16.3231  28.0806  54.7412
171  45.9866  13.0852  25.1379  54.0176
172  45.9866  13.0852  25.1379  54.0176
173  41.9776  10.4076  24.6816  49.7958
174  40.8295  10.385  24.0096  48.4908
175  40.6408  8.90821  23.5451  47.8059
176  40.9385  12.2592  20.2966  47.3097
177  40.9444  15.8678  17.4122  47.2378
178  40.9444  15.8678  17.4122  47.2378
179  40.9444  15.8678  17.4122  47.2378
180  38.7019  17.5277  15.1596  45.1096
181  40.5501  15.6298  18.4324  47.2055
182  40.5501  15.6298  18.4324  47.2055
183  37.8972  12.1413  17.0001  43.2737
184  37.8972  12.1413  17.0001  43.2737
185  38.3553  11.7455  18.2651  44.076
