0 0  0  5.5  5.5
155  3.09569  -2.93849  3.22059  5.34698
156  3.09569  -2.93849  3.22059  5.34698
157  3.64004  0.197715  3.95405  5.37806
158  2.93314  0.488488  5.4591  6.2164
159  1.91172  1.14944  2.3994  3.27613
160  1.91172  1.14944  2.3994  3.27613
161  1.91172  1.14944  2.3994  3.27613
162  1.91172  1.14944  2.3994  3.27613
163  1.91172  1.14944  2.3994  3.27613
164  0.297248  -0.924815  0.710915  1.20376
165  -1.96103  2.13007  -3.3695  4.44256
166  -1.96103  2.13007  -3.3695  4.44256
167  -3.94347  4.90816  -3.88321  7.39732
168  -2.17025  4.77266  1.62785  5.48982
169  0.825193  4.53568  4.84633  6.68881
170  0.825193  4.53568  4.84633  6.68881
171  2.7478  1.2978  1.90368  3.5859
172  2.7478  1.2978  1.90368  3.5859
173  -1.26117  -1.37978  1.44738  2.36416
174  -2.40928  -1.4024  0.775408  2.89355
175  -2.40928  -1.4024  0.775408  2.89355
176  -2.11149  1.94858  -2.47313  3.791
177  -2.11149  1.94858  -2.47313  3.791
178  -2.11149  1.94858  -2.47313  3.791
179  -2.11149  1.94858  -2.47313  3.791
180  -4.35396  3.60851  -4.72573  7.36959
181  -2.50573  1.71057  -1.45292  3.36388
182  0.157877  2.47934  1.50356  2.90391
183  0.157877  2.47934  1.50356  2.90391
184  0.334902  3.51332  2.59196  4.3788
185  0.792942  3.11752  3.857  5.02236
186  1.8539  -2.02278  5.72536  6.34888
187  3.04598  -2.3264  7.83753  8.72451
188  2.75871  -1.86537  8.47833  9.10891
189  2.75871  -1.86537  8.47833  9.10891
190  2.75871  -1.86537  8.47833  9.10891
191  4.71995  -1.56326  7.00162  8.58746
192  1.53136  -0.313891  5.03753  5.2745
193  -1.21667  1.17429  5.71592  5.96078
194  -3.54303  -0.0131394  4.17001  5.47195
195  -3.54303  -0.0131394  4.17001  5.47195
196  -1.59413  1.1294  3.4053  3.92592
197  -1.1418  -1.77843  5.64358  6.02631
198  -1.1418  -1.77843  5.64358  6.02631
199  -3.0025  0.439899  4.64349  5.54712
200  -1.29446  -0.184894  5.16745  5.33032
201  -4.2555  -1.66772  7.0042  8.36357
202  -3.35906  -4.19455  7.25632  9.02949
203  -6.57067  -3.31295  6.95209  10.1233
204  -7.20094  -2.03308  9.03451  11.7307
205  -6.00454  -1.81697  6.12909  8.7705
206  -4.75121  -3.61859  4.25572  7.33344
207  -4.75121  -3.61859  4.25572  7.33344
208  -4.42849  -3.59427  5.99827  8.27705
209  -4.42849  -3.59427  5.99827  8.27705
210  -3.67307  -0.974356  6.99748  7.96276
211  -3.67307  -0.974356  6.99748  7.96276
212  -0.351586  -0.299372  6.34988  6.36665
213  0.116577  1.10228  9.37969  9.44496
214  -1.47096  3.46507  6.61789  7.6136
215  -2.98337  3.03477  5.51563  6.96653
216  -1.30934  4.34221  4.67281  6.51186
217  -1.03021  2.86181  8.06605  8.62046
218  -0.569502  -0.524263  6.86962  6.9131
219  -0.569502  -0.524263  6.86962  6.9131
220  -4.04746  -2.66756  7.99676  9.35125
221  -2.79638  -0.883521  5.6863  6.39799
222  -2.79638  -0.883521  5.6863  6.39799
223  -2.79638  -0.883521  5.6863  6.39799
224  -2.14043  2.36279  4.09327  5.18836
225  -2.14043  2.36279  4.09327  5.18836
226  -2.62151  1.03154  4.30488  5.14475
227  0.945168  0.973663  5.13335  5.30968
228  0.945168  0.973663  5.13335  5.30968
229  0.632897  3.62088  5.77065  6.84191
230  -1.31656  2.47838  3.39235  4.4027
231  -1.31656  2.47838  3.39235  4.4027
232  0.484904  2.55106  4.27056  4.99807
233  0.0252311  1.35033  4.03834  4.25819
234  0.0252311  1.35033  4.03834  4.25819
235  0.0252311  1.35033  4.03834  4.25819
236  -2.62215  -0.792072  3.98252  4.83358
237  -2.77201  -0.222102  3.78812  4.69927
238  -3.65009  0.0711747  4.01817  5.42899
239  -3.65009  0.0711747  4.01817  5.42899
240  -3.65009  0.0711747  4.01817  5.42899
241  -1.83776  -0.547644  0.989845  2.15802
242  -1.83776  -0.547644  0.989845  2.15802
243  0.574671  -0.0704327  1.7409  1.83465
244  0.574671  -0.0704327  1.7409  1.83465
245  0.407787  -0.734183  2.80265  2.92578
246  2.36941  -1.80254  3.65066  4.71069
247  1.34746  -2.35425  3.76865  4.64337
248  -0.827697  -1.14699  4.05255  4.2923
249  -0.827697  -1.14699  4.05255  4.2923
