0 0  0  5.5  5.5
196  -2.10279  0.253043  5.81879  6.19226
197  -2.10279  0.253043  5.81879  6.19226
198  -2.29807  -0.839711  5.12815  5.68192
199  -0.973276  -2.61532  4.18068  5.02646
200  0.19841  -2.0717  1.7088  2.69282
201  1.21803  -2.2298  3.27568  4.14556
202  -0.186052  -1.11929  3.24693  3.43947
203  1.38145  1.43909  4.0098  4.4786
204  1.38145  1.43909  4.0098  4.4786
205  1.38145  1.43909  4.0098  4.4786
206  1.38145  1.43909  4.0098  4.4786
207  1.38145  1.43909  4.0098  4.4786
208  1.38145  1.43909  4.0098  4.4786
209  1.38145  1.43909  4.0098  4.4786
210  1.38145  1.43909  4.0098  4.4786
211  0.379519  1.34949  6.41187  6.56333
212  0.379519  1.34949  6.41187  6.56333
213  3.00885  2.55596  4.97418  6.35048
214  4.7122  0.66493  4.11579  6.2918
215  4.7122  0.66493  4.11579  6.2918
216  4.7122  0.66493  4.11579  6.2918
217  5.51872  0.259471  4.84924  7.35111
218  5.51872  0.259471  4.84924  7.35111
219  5.51872  0.259471  4.84924  7.35111
220  5.51872  0.259471  4.84924  7.35111
221  5.51872  0.259471  4.84924  7.35111
222  3.34262  0.925184  3.90174  5.22041
223  0.792891  1.32588  2.23459  2.71662
224  0.792891  1.32588  2.23459  2.71662
225  -1.16243  -0.794089  4.68987  4.8966
226  -1.14882  1.48104  3.40823  3.88964
227  -1.14882  1.48104  3.40823  3.88964
228  -1.14882  1.48104  3.40823  3.88964
229  -0.988319  2.14293  2.83447  3.68825
230  -0.988319  2.14293  2.83447  3.68825
231  -0.988319  2.14293  2.83447  3.68825
232  -0.988319  2.14293  2.83447  3.68825
233  -0.988319  2.14293  2.83447  3.68825
234  -0.488172  0.384745  4.48653  4.52938
235  -0.168242  2.53581  3.04841  3.96881
236  1.89508  1.66768  3.49139  4.3084
237  1.36452  1.81191  1.58413  2.76666
238  1.36452  1.81191  1.58413  2.76666
239  -1.37439  3.33253  3.18758  4.812
240  0.895953  1.06235  2.5933  2.9422
241  0.895953  1.06235  2.5933  2.9422
242  0.895953  1.06235  2.5933  2.9422
243  0.895953  1.06235  2.5933  2.9422
244  0.895953  1.06235  2.5933  2.9422
245  1.46904  3.76769  1.96848  4.49761
246  1.46904  3.76769  1.96848  4.49761
247  1.46904  3.76769  1.96848  4.49761
248  0.527371  2.44822  3.366  4.19546
249  0.527371  2.44822  3.366  4.19546
250  0.527371  2.44822  3.366  4.19546
251  0.527371  2.44822  3.366  4.19546
252  1.27533  -0.29862  0.593008  1.43781
253  1.76582  -2.26364  1.09091  3.0712
254  0.679729  -0.387312  -1.68332  1.85623
255  0.679729  -0.387312  -1.68332  1.85623
256  -0.933301  -0.403287  -1.06805  1.47459
257  -2.40505  1.29204  -2.84968  3.94643
258  -2.40505  1.29204  -2.84968  3.94643
259  -0.587826  -1.45831  -1.57025  2.22213
260  -0.587826  -1.45831  -1.57025  2.22213
261  -0.587826  -1.45831  -1.57025  2.22213
262  1.70983  -3.67742  -3.12725  5.12119
263  3.72319  -1.51616  -5.37621  6.71301
264  3.72319  -1.51616  -5.37621  6.71301
265  6.55994  0.0601632  -2.51034  7.02412
266  6.55994  0.0601632  -2.51034  7.02412
267  5.68751  1.93586  -4.48559  7.49772
268  2.74961  3.10519  -6.72528  7.90139
269  0.999293  0.856989  -4.73971  4.91913
270  1.52442  -1.41937  -2.30794  3.10887
271  2.18608  -2.04049  -2.96708  4.21261
272  2.18608  -2.04049  -2.96708  4.21261
273  2.06197  0.134054  -5.73096  6.09209
274  0.0374234  -1.82345  -3.01342  3.52237
275  -1.53174  0.175326  -3.74143  4.04663
276  -1.53174  0.175326  -3.74143  4.04663
277  -1.53174  0.175326  -3.74143  4.04663
278  -1.53174  0.175326  -3.74143  4.04663
279  -1.53174  0.175326  -3.74143  4.04663
280  -1.53174  0.175326  -3.74143  4.04663
281  -1.53174  0.175326  -3.74143  4.04663
282  -1.53174  0.175326  -3.74143  4.04663
283  -1.53174  0.175326  -3.74143  4.04663
284  -1.53174  0.175326  -3.74143  4.04663
285  -0.645137  -0.179383  -1.36137  1.51714
286  -0.645137  -0.179383  -1.36137  1.51714
287  0.0261622  -1.0566  -1.60538  1.92207
288  0.330965  -0.753783  0.934282  1.24523
289  2.91912  -1.14347  -1.3474  3.41237
290  2.71082  1.5845  -3.98014  5.06959
291  2.84192  2.22138  -2.71647  4.51555
292  2.84192  2.22138  -2.71647  4.51555
293  0.122754  2.54413  -0.465029  2.58919
294  -1.21197  5.43817  2.15212  5.97278
295  -1.21197  5.43817  2.15212  5.97278
296  -1.21197  5.43817  2.15212  5.97278
297  1.05245  4.38599  4.5439  6.40247
298  1.05245  4.38599  4.5439  6.40247
299  1.05245  4.38599  4.5439  6.40247
300  3.38731  5.19655  6.24726  8.80376
301  1.7399  4.57057  4.25068  6.47964
302  1.7399  4.57057  4.25068  6.47964
303  -0.168749  5.66483  2.18442  6.07375
304  0.595708  2.94627  3.61378  4.70051
305  1.72655  0.539768  3.06382  3.55799
306  1.57427  1.29339  2.59257  3.29736
307  1.57427  1.29339  2.59257  3.29736
308  1.57427  1.29339  2.59257  3.29736
309  -1.24262  -0.190678  4.61897  4.787
310  1.24727  -0.96504  3.50326  3.84185
311  1.24727  -0.96504  3.50326  3.84185
312  -0.586325  -0.021601  5.79004  5.81969
313  -0.586325  -0.021601  5.79004  5.81969
314  0.460495  0.811019  5.24076  5.3231
315  2.44589  1.44878  5.71377  6.38189
316  2.44589  1.44878  5.71377  6.38189
317  2.44589  1.44878  5.71377  6.38189
318  2.44589  1.44878  5.71377  6.38189
319  2.44589  1.44878  5.71377  6.38189
320  4.6072  1.07865  4.29341  6.3893
321  4.6072  1.07865  4.29341  6.3893
322  2.91929  0.786417  2.30153  3.7997
323  2.91929  0.786417  2.30153  3.7997
324  2.64551  -1.30011  1.34778  3.24122
325  2.64551  -1.30011  1.34778  3.24122
326  0.553218  -0.81014  3.84734  3.97044
327  0.925683  0.542145  3.71744  3.86913
328  -1.04265  -1.5808  4.9225  5.27418
329  -1.04265  -1.5808  4.9225  5.27418
330  1.40735  -0.619725  5.01754  5.2479
331  1.40735  -0.619725  5.01754  5.2479
332  0.592233  1.93813  5.09822  5.48625
333  3.20897  1.15542  4.75159  5.84894
