0 -10  -10  -10  17.3205
146  0.104761  -0.675162  0.450856  0.81859
147  0.104761  -0.675162  0.450856  0.81859
148  0.431357  0.0702158  0.409946  0.599212
149  0.431357  0.0702158  0.409946  0.599212
150  0.431357  0.0702158  0.409946  0.599212
151  0.431357  0.0702158  0.409946  0.599212
152  0.431357  0.0702158  0.409946  0.599212
153  0.740275  0.32055  0.40327  0.90188
154  0.996678  0.527463  -0.618378  1.28607
155  0.161365  -0.329452  -0.329284  0.492956
156  0.161365  -0.329452  -0.329284  0.492956
157  0.161365  -0.329452  -0.329284  0.492956
158  -0.13568  -0.207266  0.303154  0.391498
159  -0.13568  -0.207266  0.303154  0.391498
160  -0.13568  -0.207266  0.303154  0.391498
161  -0.13568  -0.207266  0.303154  0.391498
162  -0.13568  -0.207266  0.303154  0.391498
163  -0.13568  -0.207266  0.303154  0.391498
164  -0.13568  -0.207266  0.303154  0.391498
165  -0.13568  -0.207266  0.303154  0.391498
166  -0.13568  -0.207266  0.303154  0.391498
167  -0.968728  0.960123  0.0872837  1.36671
168  -0.968728  0.960123  0.0872837  1.36671
169  0.289997  0.86054  1.43973  1.70219
170  0.289997  0.86054  1.43973  1.70219
171  1.0979  -0.500057  0.20319  1.22341
172  1.0979  -0.500057  0.20319  1.22341
173  -0.586719  -1.62521  0.0114471  1.72791
174  -1.06917  -1.63472  -0.270925  1.97201
175  -1.06917  -1.63472  -0.270925  1.97201
176  -0.944034  -0.226593  -1.636  1.90238
177  -0.944034  -0.226593  -1.636  1.90238
178  -0.785865  1.04352  -1.08585  1.6987
179  -0.785865  1.04352  -1.08585  1.6987
180  -1.72818  1.74104  -2.03242  3.18568
181  -0.951531  0.943504  -0.657148  1.49247
182  0.167751  1.26655  0.585203  1.40526
183  -0.947029  -0.199367  -0.0166829  0.967931
184  -0.872641  0.235128  0.44068  1.00548
185  -0.680167  0.0688051  0.972262  1.18855
186  -0.680167  0.0688051  0.972262  1.18855
187  -0.179236  -0.0587808  1.85982  1.86937
188  -0.29995  0.134951  2.12909  2.15435
189  -0.29995  0.134951  2.12909  2.15435
190  -0.29995  0.134951  2.12909  2.15435
191  0.524187  0.2619  1.50856  1.61837
192  -0.815699  0.786901  0.683228  1.3234
193  -0.815699  0.786901  0.683228  1.3234
194  -1.79326  0.287929  0.03362  1.81654
195  -1.79326  0.287929  0.03362  1.81654
196  -0.974312  0.768041  -0.287723  1.27356
197  -0.784237  -0.453866  0.65283  1.11679
198  -0.784237  -0.453866  0.65283  1.11679
199  -1.56612  0.478301  0.232582  1.65397
200  -0.848385  0.215756  0.452754  0.985542
201  -0.848385  0.215756  0.452754  0.985542
202  -0.47169  -0.846052  0.558698  1.11823
203  -1.82125  -0.475593  0.430857  1.931
204  -2.0861  0.0622268  1.30592  2.46193
205  -1.58336  0.153037  0.085022  1.593
206  -1.05669  -0.604026  -0.70219  1.40517
207  -1.05669  -0.604026  -0.70219  1.40517
208  -0.921078  -0.593806  0.0300504  1.09631
209  -0.921078  -0.593806  0.0300504  1.09631
210  -0.60364  0.507116  0.449931  0.907737
211  -0.60364  0.507116  0.449931  0.907737
212  0.792088  0.790753  0.177802  1.13327
213  0.988816  1.37974  1.45097  2.2331
214  0.988816  1.37974  1.45097  2.2331
215  0.353279  1.19892  0.987781  1.59309
216  0.353279  1.19892  0.987781  1.59309
217  0.470574  0.576839  2.41366  2.52586
218  0.664169  -0.846031  1.91091  2.19282
219  0.664169  -0.846031  1.91091  2.19282
220  -0.797313  -1.74667  2.38455  3.06148
221  -0.271592  -0.996995  1.41366  1.75106
222  -0.271592  -0.996995  1.41366  1.75106
223  -0.271592  -0.996995  1.41366  1.75106
224  0.00404617  0.367146  0.744252  0.829894
225  0.00404617  0.367146  0.744252  0.829894
226  -0.198112  -0.19226  0.833174  0.877719
227  -0.198112  -0.19226  0.833174  0.877719
228  -0.198112  -0.19226  0.833174  0.877719
229  -0.329333  0.920136  1.10098  1.47216
230  -1.14852  0.44004  0.101584  1.23412
231  -1.14852  0.44004  0.101584  1.23412
232  -0.391521  0.470581  0.470619  0.772151
233  -0.584682  -0.0339808  0.373034  0.694379
234  -0.584682  -0.0339808  0.373034  0.694379
235  -0.584682  -0.0339808  0.373034  0.694379
236  -0.584682  -0.0339808  0.373034  0.694379
237  -0.647653  0.205528  0.291343  0.739309
238  -0.647653  0.205528  0.291343  0.739309
239  -0.647653  0.205528  0.291343  0.739309
240  -0.647653  0.205528  0.291343  0.739309
241  0.113913  -0.0545078  -0.981199  0.989292
242  -0.23859  -0.220253  -1.07459  1.12258
243  0.775142  -0.0197228  -0.758988  1.08503
244  0.0428676  0.989995  -1.24363  1.59014
245  -0.0272593  0.711078  -0.797464  1.0688
246  0.797039  0.26214  -0.44112  0.947932
247  0.367604  0.0303068  -0.391539  0.537917
248  0.367604  0.0303068  -0.391539  0.537917
249  0.367604  0.0303068  -0.391539  0.537917
250  0.170248  -1.00892  0.554779  1.16391
251  0.170248  -1.00892  0.554779  1.16391
252  0.170248  -1.00892  0.554779  1.16391
253  0.170248  -1.00892  0.554779  1.16391
254  0.170248  -1.00892  0.554779  1.16391
255  -0.15686  -0.253198  -0.332995  0.446766
256  -0.15686  -0.253198  -0.332995  0.446766
257  0.258361  0.0266281  -0.276031  0.379015
258  0.258361  0.0266281  -0.276031  0.379015
259  0.258361  0.0266281  -0.276031  0.379015
260  0.258361  0.0266281  -0.276031  0.379015
261  0.258361  0.0266281  -0.276031  0.379015
262  0.258361  0.0266281  -0.276031  0.379015
263  0.258361  0.0266281  -0.276031  0.379015
264  0.258361  0.0266281  -0.276031  0.379015
265  0.258361  0.0266281  -0.276031  0.379015
266  0.258361  0.0266281  -0.276031  0.379015
267  0.258361  0.0266281  -0.276031  0.379015
268  0.258361  0.0266281  -0.276031  0.379015
269  0.258361  0.0266281  -0.276031  0.379015
270  0.258361  0.0266281  -0.276031  0.379015
271  -0.376854  -0.321282  -1.08935  1.19663
272  -0.376854  -0.321282  -1.08935  1.19663
273  -0.221733  0.890101  -0.664348  1.13261
274  -0.221733  0.890101  -0.664348  1.13261
275  -0.160432  0.473419  0.422488  0.654492
276  -0.160432  0.473419  0.422488  0.654492
277  0.630754  0.488166  -0.149651  0.811512
278  0.630754  0.488166  -0.149651  0.811512
279  0.630754  0.488166  -0.149651  0.811512
280  -0.814259  0.254065  0.582091  1.03266
281  -0.814259  0.254065  0.582091  1.03266
282  -0.814259  0.254065  0.582091  1.03266
283  -0.814259  0.254065  0.582091  1.03266
284  -0.814259  0.254065  0.582091  1.03266
285  -0.814259  0.254065  0.582091  1.03266
