0 0  0  20  20
50  2.08939  2.08112  -4.27023  5.18955
51  2.08939  2.08112  -4.27023  5.18955
52  2.08939  2.08112  -4.27023  5.18955
53  0.343907  1.47279  -3.06933  3.42172
54  0.343907  1.47279  -3.06933  3.42172
55  0.343907  1.47279  -3.06933  3.42172
56  0.343907  1.47279  -3.06933  3.42172
57  0.343907  1.47279  -3.06933  3.42172
58  0.675345  4.2171  -2.63984  5.02084
59  -2.39803  0.911481  -2.82875  3.81879
60  -3.34789  -0.739948  -2.09736  4.01931
61  -3.34789  -0.739948  -2.09736  4.01931
62  -2.76318  -0.238917  -4.08194  4.93503
63  -3.32605  0.325398  -4.00644  5.21728
64  -3.32605  0.325398  -4.00644  5.21728
65  -3.32605  0.325398  -4.00644  5.21728
66  -3.32605  0.325398  -4.00644  5.21728
67  -5.17026  1.17909  -4.4262  6.90746
68  -3.62945  -3.01039  -5.9185  7.5673
69  -3.86409  -5.11877  -8.5694  10.7036
70  -3.86409  -5.11877  -8.5694  10.7036
71  -3.86409  -5.11877  -8.5694  10.7036
72  -3.50098  -5.61845  -8.1451  10.496
73  -3.50098  -5.61845  -8.1451  10.496
74  -2.23724  -4.1284  -7.62442  8.95436
75  -2.23724  -4.1284  -7.62442  8.95436
76  -2.23724  -4.1284  -7.62442  8.95436
77  -1.26247  -5.03749  -4.72953  7.02414
78  -0.471789  -4.78348  -3.55694  5.97964
79  -0.855052  -3.61054  -1.18403  3.89474
80  1.64108  -3.03791  -0.957591  3.58316
81  0.151448  -4.07109  1.40194  4.30838
82  -1.81406  -3.28489  1.12555  3.91767
83  -1.53461  -0.0807678  5.64164  5.8472
84  -2.69564  -0.944587  5.9169  6.57027
85  -2.69564  -0.944587  5.9169  6.57027
86  -2.69564  -0.944587  5.9169  6.57027
87  -3.33665  -2.05381  5.51578  6.76574
88  -3.33665  -2.05381  5.51578  6.76574
89  -2.51987  -4.52937  5.44046  7.51422
90  -2.51987  -4.52937  5.44046  7.51422
91  -4.22499  -1.57566  3.77206  5.87892
92  -2.34821  -0.658032  4.52268  5.13826
93  -2.34821  -0.658032  4.52268  5.13826
94  -2.34821  -0.658032  4.52268  5.13826
95  1.21903  0.487425  3.80828  4.02823
96  1.21903  0.487425  3.80828  4.02823
97  1.21903  0.487425  3.80828  4.02823
98  1.21903  0.487425  3.80828  4.02823
99  1.21903  0.487425  3.80828  4.02823
100  2.00597  -1.89285  3.43821  4.40774
101  2.00597  -1.89285  3.43821  4.40774
